Fecha,AAPL,ADBE,AMZN,META,MSFT,NFLX,NVDA,TSLA
8/14/2023,178.9954987,522.25,140.5700073,305.8654785,322.1047668,427.7799988,437.4349976,239.7599945
8/15/2023,176.9906769,518.7000122,137.6699982,301.6299744,319.9377747,423.7000122,439.3045654,232.9600067
8/16/2023,176.1129608,514.4899902,135.0700073,293.9780884,319.1607971,415.4500122,434.7655334,225.6000061
8/17/2023,173.5496216,511.6700134,133.9799957,284.7878418,315.6544495,403,433.3458557,219.2200012
8/18/2023,174.0383606,508.1300049,133.2200012,282.9497986,315.2559814,404.5299988,432.8959656,215.4900055
8/21/2023,175.3848419,520.4699707,134.6799927,289.5927429,320.6351013,408.2900085,469.5679932,231.2799988
8/22/2023,176.7712555,519.4799805,134.25,287.2951965,321.2128296,413.1700134,456.58078,233.1900024
8/23/2023,180.6511841,530.710022,135.5200043,293.9281311,325.7352905,427.5499878,471.0576782,236.8600006
8/24/2023,175.9234619,512.4299927,131.8399963,286.4460754,318.7324829,406.9299927,471.5275574,230.0399933
8/25/2023,178.1476898,525.0599976,133.2599945,285.1973877,321.730835,416.0299988,460.0800476,238.5899963
8/28/2023,179.7236023,529.9199829,133.1399994,289.9523621,322.4480591,418.0599976,468.248291,238.8200073
8/29/2023,183.6434021,540.5700073,134.9100037,297.6741638,327.1398315,429.9899902,487.7340393,257.1799927
8/30/2023,187.1642761,545.3599854,135.0700073,294.7872314,327.5183716,434.6700134,492.53302,256.8999939
8/31/2023,187.3836975,559.3400269,138.0099945,295.576416,326.4923706,433.6799927,493.4427795,258.0799866
9/1/2023,188.9695892,563.210022,138.1199951,296.0658875,327.388855,439.8800049,484.9846497,245.0099945
9/5/2023,189.2089691,564.8800049,137.2700043,299.8318787,332.2599182,448.6799927,485.3745728,256.4899902
9/6/2023,182.4365387,561.9400024,135.3600006,298.8529358,331.5925598,445.7600098,470.5465393,251.9199982
9/7/2023,177.1003876,560.460022,137.8500061,298.3534546,328.6340332,443.1400146,462.3476563,251.4900055
9/8/2023,177.7187805,560.3599854,138.2299957,297.5742798,332.9771423,442.7999878,455.6585693,248.5
9/11/2023,178.8957367,564.5,143.1000061,307.2340088,336.6329651,445.3599854,451.7190857,273.5799866
9/12/2023,175.8436737,542.210022,141.2299957,301.340271,330.4868164,434.6900024,448.6394958,267.480011
9/13/2023,173.759079,553.5599976,144.8500061,304.7366638,334.7602539,412.2399902,454.7886963,271.2999878
9/14/2023,175.2851105,552.1599731,144.7200012,311.3896179,337.3900146,400.4899902,455.7485352,276.0400085
9/15/2023,174.5569916,528.8900146,140.3899994,299.9916992,328.9428101,396.9400024,438.9407959,274.3900146
9/18/2023,177.5093384,532.4199829,139.9799957,302.2293091,327.7872925,394.3999939,439.600708,265.2799988
9/19/2023,178.6064911,541.6900024,137.6300049,304.7466736,327.3788757,396.2000122,435.1413269,266.5
9/20/2023,175.0357513,535.7800293,135.2899933,299.3523865,319.5293884,386.2999878,422.3330688,262.5899963
9/21/2023,173.4797821,513.8800049,129.3300018,295.4165649,318.2941895,384.1499939,410.1147156,255.6999969
9/22/2023,174.3375702,512.9000244,129.1199951,298.7630005,315.7839355,379.8099976,416.0438843,244.8800049
9/25/2023,175.6242371,511.6000061,131.2700043,300.5111389,316.3118896,384.7999878,422.1630859,246.9900055
9/26/2023,171.5148926,506.2999878,125.9800034,298.6431274,310.9327698,379.25,419.0534973,244.1199951
9/27/2023,169.9888458,502.6000061,125.9800034,297.424408,311.5802307,377.5899963,424.6227417,240.5
9/28/2023,170.2481842,504.6700134,125.9800034,303.6378174,312.4269714,376.3599854,430.8319397,246.3800049
9/29/2023,170.7668457,509.8999939,127.1200027,299.8918152,314.5288086,377.6000061,434.9313354,250.2200012
10/2/2023,173.3002472,521.1300049,129.4600067,306.494812,320.5553894,380.3299866,447.7596436,251.6000061
10/3/2023,171.9537354,507.0299988,124.7200012,300.6210327,312.1779175,376.75,435.1113281,246.5299988
10/4/2023,173.210495,518.4199829,127,305.2561035,317.7263794,376.8999939,440.3506165,261.1600037
10/5/2023,174.4572601,516.4400024,125.9599991,304.46698,318.1248169,372.5899963,446.8197632,260.0499878
10/6/2023,177.0305786,526.6799927,127.9599991,315.0956726,325.9942932,381.5100098,457.5583191,260.5299988
10/9/2023,178.5267029,529.289978,128.2599945,318.0225525,328.5443726,385.9500122,452.6689758,259.6700134
10/10/2023,177.9282532,532.7199707,129.4799957,321.4988708,327.1199341,373.3200073,457.9182739,263.6199951
10/11/2023,179.3345947,549.9099731,131.8300018,327.4725647,331.1343384,365.9299927,467.9969177,262.9899902
10/12/2023,180.2422485,559.6300049,132.3300018,323.8164368,329.8792114,361.2000122,469.3867188,258.8699951
10/13/2023,178.3870697,548.7600098,129.7899933,314.3564758,326.4624939,355.6799927,454.5486755,251.1199951
10/16/2023,178.2573853,550.7399902,132.5500031,320.8096008,331.3534851,360.8200073,460.8878784,253.9199982
10/17/2023,176.691452,560.0900269,131.4700012,323.6565857,330.7756958,355.7200012,439.3207703,254.8500061
10/18/2023,175.3848419,557.8699951,128.1300049,316.6340332,328.833252,346.1900024,421.9030762,242.6799927
10/19/2023,175.0058441,555.7399902,128.3999939,312.4784546,330.0385742,401.769989,420.9532471,220.1100006
10/20/2023,172.4325104,540.960022,125.1699982,308.3228455,325.4065857,400.9599915,413.814209,211.9900055
10/23/2023,172.5522003,540.4099731,126.5599976,313.6771851,328.0463257,406.8399963,429.6920471,212.0800018
10/24/2023,172.9910583,539.5599976,128.5599976,312.2187195,329.2516479,413.730011,436.5711365,216.5200043
10/25/2023,170.6571198,521.1400146,121.3899994,299.2125244,339.3524475,411.25,417.7336731,212.4199982
10/26/2023,166.4580078,514.2800293,119.5699997,288.0443726,326.6218567,403.5400085,403.2056274,205.7599945
10/27/2023,167.7845612,508.1199951,127.7399979,296.4154968,328.5344238,397.8699951,404.9454041,207.3000031
10/30/2023,169.8491974,526.9400024,132.7100067,302.3392029,336.0054016,410.0799866,411.5544739,197.3600006
10/31/2023,170.3279724,532.0599976,133.0899963,300.9506836,336.8023071,411.6900024,407.7449951,200.8399963
11/1/2023,173.5196838,544.5,137,311.5194702,344.7315369,420.1900024,423.1929321,205.6600037
11/2/2023,177.1103668,558.710022,138.0700073,310.5404968,346.9728394,424.7099915,435.0013428,218.5099945
11/3/2023,176.1927338,563.6599731,138.6000061,314.266571,351.4354858,432.3599854,449.9892883,219.9600067
11/6/2023,178.7660675,565.4500122,139.7400055,315.465271,355.151062,434.7399902,457.4483337,219.2700043
11/7/2023,181.3493652,585.2000122,142.7100067,318.4820862,359.1356201,434.6099854,459.4880371,222.1799927
11/8/2023,182.4165955,585.3099976,142.0800018,319.4410706,361.7952881,436.6499939,465.6771851,222.1100006
11/9/2023,181.9378357,577.7399902,140.6000061,320.2102356,359.2949829,435.1499939,469.436676,209.9799957
11/10/2023,186.1624451,597.2199707,143.5599976,328.4215393,368.2402649,447.2399902,483.2848511,214.6499939
11/13/2023,184.5644989,590.3400269,142.5899963,328.841095,365.2618103,444.6199951,486.1344604,223.7100067
11/14/2023,187.2011261,604.3300171,145.8000031,335.9535522,368.8379211,448.6499939,496.493042,237.4100037
11/15/2023,187.7703857,595.3099976,143.1999969,332.3573608,368.9876709,461.9400024,488.8141174,242.8399963
11/16/2023,189.4682465,602.0599976,142.8300018,333.8357849,375.4756775,466.9500122,494.7333069,233.5899963
11/17/2023,189.4482574,602.6599731,145.1799927,334.684906,369.1673279,465.9100037,492.9135437,234.3000031
11/20/2023,191.2060089,612.7000122,146.1300049,339.6096802,376.7433167,474.4700012,504.0220337,235.6000061
11/21/2023,190.397049,610.9899902,143.8999939,336.6228638,372.3813782,474.9500122,499.3726501,241.1999969
11/22/2023,191.0661926,619.7199707,146.7100067,341.1280518,377.1525574,478,487.0943298,234.2100067
11/24/2023,189.7279053,619.4299927,146.7400055,337.871521,376.7333069,479.5599976,477.6956177,235.4499969
11/27/2023,189.5481262,619.2700195,147.7299957,334.3452759,377.9111328,479.1700134,482.3549805,236.0800018
11/28/2023,190.1573486,623.3200073,147.0299988,338.6307068,381.9936218,479,478.1455078,246.7200012
11/29/2023,189.1286621,617.3900146,146.3200073,331.8479309,378.1506958,477.1900024,481.335083,244.1399994
11/30/2023,189.7079163,611.0100098,146.0899963,326.8032532,378.2106018,473.9700012,467.6369629,240.0800018
12/1/2023,190.9962921,612.4699707,147.0299988,324.4757385,373.8187256,465.7399902,467.5869446,238.8300018
12/4/2023,189.1885834,604.5599976,144.8399963,319.6808167,368.4586487,453.8999939,455.0386658,235.5800018
12/5/2023,193.1735077,602.2199707,146.8800049,317.9526672,371.8323669,455.1499939,465.6381531,238.7200012
12/6/2023,192.0749207,595.7000122,144.5200043,317.1135559,368.1192322,446.730011,455.008667,239.3699951
12/7/2023,194.0224304,608.7800293,146.8800049,326.2438354,370.2652893,452,465.9381409,242.6399994
12/8/2023,195.4605865,610.0100098,147.4199982,332.3973083,373.5392456,453.7600098,475.0377197,243.8399963
12/11/2023,192.9338074,625.2000122,145.8899994,324.9352417,370.614624,459.8900146,466.2481079,239.7400055
12/12/2023,194.4618683,633.6599731,147.4799957,333.8657532,373.6889648,463,476.5476379,237.0099945
12/13/2023,197.7077179,624.2600098,148.8399963,334.3851929,373.6789551,479.980011,480.8574524,239.2899933
12/14/2023,197.8575287,584.6400146,147.4199982,332.8168945,365.2545471,469.8299866,483.4773254,251.0500031
12/15/2023,197.318222,584.6799927,149.9700012,334.565033,370.0457153,472.0599976,488.8770752,253.5
12/18/2023,195.6403503,599.1300049,154.0700073,344.2547302,371.9621277,486.1199951,500.7464905,252.0800018
12/19/2023,196.6890259,604.6400146,153.7899933,349.9886475,372.5710449,495.019989,496.0167542,257.2200012
12/20/2023,194.5817108,596.0599976,152.1199951,348.90979,369.9358826,489.269989,481.0874023,247.1399994
12/21/2023,194.4318848,600.1400146,153.8399963,353.7146912,372.8505249,491.6099854,489.8770142,254.5
12/22/2023,193.3532867,598.75,153.4199982,353.0154724,373.8885803,486.7600098,488.2770691,252.5399933
12/26/2023,192.8039856,598.2600098,153.4100037,354.4539185,373.9684448,491.1900024,492.7669067,256.6099854
12/27/2023,192.9038391,596.0800171,153.3399963,357.4507141,373.3795471,491.7900085,494.1468201,261.4400024
12/28/2023,193.3332977,595.5200195,153.3800049,357.9402161,374.5872803,490.5100098,495.1967773,253.1799927
12/29/2023,192.2846375,596.5999756,151.9400024,353.5848389,375.3458862,486.8800049,495.1967773,248.4799957
