Fecha,NDX
6/26/2019,7627.049805
6/27/2019,7657.049805
6/28/2019,7671.080078
7/1/2019,7768.140137
7/2/2019,7799.819824
7/3/2019,7857.689941
7/5/2019,7841.299805
7/8/2019,7785.790039
7/9/2019,7826.859863
7/10/2019,7903.399902
7/11/2019,7896.779785
7/12/2019,7943.240234
7/15/2019,7966.930176
7/16/2019,7927.080078
7/17/2019,7888.759766
7/18/2019,7904.129883
7/19/2019,7834.899902
7/22/2019,7905.120117
7/23/2019,7954.560059
7/24/2019,8010.609863
7/25/2019,7929.870117
7/26/2019,8016.950195
7/29/2019,7989.080078
7/30/2019,7952.470215
7/31/2019,7848.779785
8/1/2019,7801.149902
8/2/2019,7692.799805
8/5/2019,7415.689941
8/6/2019,7521.319824
8/7/2019,7551.899902
8/8/2019,7724.830078
8/9/2019,7646.27002
8/12/2019,7561.680176
8/13/2019,7728.149902
8/14/2019,7490.129883
8/15/2019,7484.890137
8/16/2019,7604.109863
8/19/2019,7719.319824
8/20/2019,7664.470215
8/21/2019,7733.220215
8/22/2019,7707.430176
8/23/2019,7464.990234
8/26/2019,7575.02002
8/27/2019,7566.029785
8/28/2019,7587.899902
8/29/2019,7702.310059
8/30/2019,7691
9/3/2019,7609.509766
9/4/2019,7719.25
9/5/2019,7862.540039
9/6/2019,7852.540039
9/9/2019,7832.399902
9/10/2019,7814.740234
9/11/2019,7887.580078
9/12/2019,7917.339844
9/13/2019,7892.950195
9/16/2019,7852.410156
9/17/2019,7888.790039
9/18/2019,7888.560059
9/19/2019,7901.790039
9/20/2019,7823.549805
9/23/2019,7818.609863
9/24/2019,7710.040039
9/25/2019,7803.540039
9/26/2019,7771.990234
9/27/2019,7681.580078
9/30/2019,7749.450195
10/1/2019,7684.140137
10/2/2019,7550.790039
10/3/2019,7638.390137
10/4/2019,7754.100098
10/7/2019,7725.129883
10/8/2019,7604.27002
10/9/2019,7690.529785
10/10/2019,7740.359863
10/11/2019,7843.879883
10/14/2019,7842.330078
10/15/2019,7942.850098
10/16/2019,7920.209961
10/17/2019,7942.140137
10/18/2019,7868.490234
10/21/2019,7940.330078
10/22/2019,7874.620117
10/23/2019,7889.470215
10/24/2019,7966.720215
10/25/2019,8029.220215
10/28/2019,8110.669922
10/29/2019,8047.509766
10/30/2019,8083.109863
10/31/2019,8083.830078
11/1/2019,8161.169922
11/4/2019,8210.660156
11/5/2019,8210.179688
11/6/2019,8196.030273
11/7/2019,8219.650391
11/8/2019,8255.889648
11/11/2019,8241.910156
11/12/2019,8263.790039
11/13/2019,8259.80957
11/14/2019,8257.830078
11/15/2019,8315.519531
11/18/2019,8328.480469
11/19/2019,8338.740234
11/20/2019,8283.75
11/21/2019,8265.620117
11/22/2019,8272.049805
11/25/2019,8371.929688
11/26/2019,8385.75
11/27/2019,8444.709961
11/29/2019,8403.679688
12/2/2019,8309.259766
12/3/2019,8254.740234
12/4/2019,8296.530273
12/5/2019,8308.400391
12/6/2019,8397.370117
12/9/2019,8362.740234
12/10/2019,8354.290039
12/11/2019,8402.610352
12/12/2019,8466.889648
12/13/2019,8487.709961
12/16/2019,8570.330078
12/17/2019,8575.700195
12/18/2019,8580.620117
12/19/2019,8641.290039
12/20/2019,8678.490234
12/23/2019,8696.009766
12/24/2019,8699.509766
12/26/2019,8778.30957
12/27/2019,8770.980469
12/30/2019,8709.730469
